link_id,year,calls
PT1,2005,0
PT2,2005,73441
PT3,2005,749472

PT1,2006,0
PT2,2006,73441
PT3,2006,749472

PT1,2007,0
PT2,2007,77320
PT3,2007,738765

PT1,2008,0
PT2,2008,75595
PT3,2008,776972

PT1,2009,0
PT2,2009,65039
PT3,2009,684425

PT1,2010,0
PT2,2010,55208
PT3,2010,729605

PT1,2011,0
PT2,2011,51930
PT3,2011,744929

PT1,2012,0
PT2,2012,43245
PT3,2012,778929

PT1,2013,0
PT2,2013,47762
PT3,2013,769886

PT1,2014,0
PT2,2014,52239
PT3,2014,810193

PT1,2015,0
PT2,2015,52090
PT3,2015,829581

PT1,2016,0
PT2,2016,56269
PT3,2016,899336

PT1,2017,0
PT2,2017,56269
PT3,2017,899336

